Date,Cash Price,Basis,Fall Price,Fall Basis
2002-04-30,4.58,-0.05,4.4,-0.17
2002-05-01,4.58,-0.07,4.39,-0.17
2002-05-02,4.57,-0.07,4.38,-0.17
2002-05-06,4.56,-0.07,4.36,-0.17
2002-05-07,4.59,-0.07,4.39,-0.17
2002-05-08,4.66,-0.06,4.47,-0.17
2002-05-09,4.72,-0.05,4.53,-0.17
2002-05-10,4.66,-0.05,4.47,-0.17
2002-05-13,4.73,-0.05,4.51,-0.17
2002-05-14,4.73,-0.03,4.47,-0.17
2002-05-15,4.8,-0.02,4.51,-0.17
2002-05-16,4.83,-0.02,4.5,-0.17
2002-05-17,4.86,-0.02,4.51,-0.17
2002-05-20,4.9,-0.02,4.57,-0.17
2002-05-21,4.89,-0.02,4.54,-0.17
2002-05-22,4.91,-0.02,4.56,-0.17
2002-05-23,4.9,-0.02,4.55,-0.17
2002-05-24,4.89,-0.02,4.52,-0.17
2002-05-28,4.96,-0.02,4.58,-0.17
2002-05-29,4.95,-0.02,4.56,-0.17
2002-05-30,5.0,-0.02,4.63,-0.17
2002-05-31,5.07,-0.02,4.7,-0.17
2002-06-03,5.04,-0.02,4.63,-0.17
2002-06-04,5.08,-0.02,4.64,-0.17
2002-06-05,5.12,-0.02,4.66,-0.17
2002-06-06,5.12,-0.02,4.64,-0.17
2002-06-07,5.08,0.0,4.61,-0.17
2002-06-10,5.01,0.0,4.56,-0.17
2002-06-11,5.01,0.0,4.59,-0.17
2002-06-12,4.88,0.0,4.53,-0.17
2002-06-13,4.93,-0.02,4.57,-0.17
2002-06-14,4.94,0.03,4.56,-0.17
2002-06-17,4.98,0.05,4.57,-0.17
2002-06-18,4.93,0.05,4.54,-0.17
2002-06-19,4.93,0.05,4.54,-0.17
2002-06-20,4.89,0.05,4.51,-0.17
2002-06-21,4.96,0.07,4.54,-0.17
2002-06-24,5.07,0.07,4.66,-0.17
2002-06-25,5.07,0.07,4.67,-0.17
2002-06-26,5.16,0.07,4.71,-0.17
2002-06-27,5.2,0.05,4.75,-0.17
2002-06-28,5.33,0.04,4.9,-0.17
2002-07-01,5.44,0.04,5.02,-0.17
2002-07-02,5.35,0.04,4.92,-0.17
2002-07-03,5.47,0.09,4.94,-0.17
2002-07-05,5.55,0.09,4.97,-0.17
2002-07-08,5.52,0.09,4.91,-0.17
2002-07-09,5.62,0.09,5.0,-0.17
2002-07-10,5.5,0.34,4.99,-0.17
2002-07-11,5.53,0.34,5.02,-0.17
2002-07-12,5.51,0.29,5.05,-0.17
2002-07-15,5.65,0.31,5.17,-0.17
2002-07-16,5.7,0.31,5.22,-0.17
2002-07-17,5.62,0.31,5.14,-0.17
2002-07-18,5.66,0.31,5.18,-0.17
2002-07-19,5.7,0.33,5.2,-0.17
2002-07-22,4.91,0.36,5.38,-0.17
2002-07-23,5.72,0.36,5.19,-0.17
2002-07-24,5.8,0.36,5.27,-0.17
2002-07-25,5.61,0.36,5.08,-0.17
2002-07-26,5.51,0.36,4.98,-0.17
2002-07-29,5.35,0.32,4.86,-0.17
2002-07-30,5.45,0.27,5.01,-0.17
2002-07-31,5.64,0.27,5.2,-0.17
2002-08-01,5.69,0.27,5.25,-0.17
2002-08-02,5.69,0.27,5.25,-0.17
2002-08-05,5.57,0.22,5.18,-0.17
2002-08-06,5.55,0.22,5.16,-0.17
2002-08-07,5.53,0.22,5.14,-0.17
2002-08-08,5.45,0.22,5.08,-0.15
2002-08-09,5.48,0.22,5.11,-0.15
2002-08-12,5.75,0.22,5.38,-0.15
2002-08-13,5.84,0.22,5.47,-0.15
2002-08-14,5.95,0.23,5.58,-0.14
2002-08-15,5.96,0.23,5.59,-0.14
2002-08-16,5.87,0.23,5.5,-0.14
2002-08-19,5.74,0.24,5.36,-0.14
2002-08-20,5.57,0.24,5.19,-0.14
2002-08-21,5.66,0.24,5.29,-0.13
2002-08-22,5.62,0.24,5.25,-0.13
2002-08-23,5.65,0.24,5.28,-0.13
2002-08-26,5.63,0.24,5.26,-0.13
2002-08-27,5.69,0.24,5.32,-0.13
2002-08-28,5.67,0.24,5.3,-0.13
2002-08-29,5.63,0.24,5.26,-0.13
2002-08-30,5.69,0.24,5.32,-0.13
2002-09-03,5.74,0.24,5.37,-0.13
2002-09-04,5.75,0.22,5.4,-0.13
2002-09-05,5.79,0.22,5.44,-0.13
2002-09-06,5.7,0.1,5.47,-0.13
2002-09-09,5.81,0.1,5.58,-0.13
2002-09-10,5.91,0.13,5.65,-0.13
2002-09-11,6.02,0.13,5.76,-0.13
2002-09-12,5.87,0.09,5.65,-0.13
2002-09-13,5.65,0.0,5.52,-0.13
2002-09-16,5.73,0.0,5.6,-0.13
2002-09-17,5.73,0.0,5.6,-0.13
2002-09-18,5.72,0.0,5.59,-0.13
2002-09-19,5.64,0.0,5.51,-0.13
2002-09-20,5.65,0.0,5.52,-0.13
2002-09-23,5.46,-0.08,5.4,-0.14
2002-09-24,5.54,-0.08,5.48,-0.14
2002-09-25,5.46,-0.13,5.41,-0.18
2002-09-26,5.55,-0.11,5.5,-0.16
2002-09-27,5.5,-0.11,5.45,-0.16
2002-09-30,5.35,-0.11,5.3,-0.16
2002-10-01,5.27,-0.15,5.24,-0.18
2002-10-02,5.24,-0.14,4.88,-0.2
2002-10-03,5.24,-0.14,4.88,-0.2
2002-10-04,5.26,-0.14,4.91,-0.19
2002-10-07,5.24,-0.16,4.91,-0.19
2002-10-09,5.08,-0.16,4.82,-0.19
2002-10-10,5.09,-0.16,4.79,-0.19
2002-10-11,5.14,-0.15,4.79,-0.19
2002-10-14,5.18,-0.15,4.82,-0.19
2002-10-15,5.33,-0.15,4.94,-0.19
2002-10-16,5.33,-0.14,4.92,-0.19
2002-10-17,5.37,-0.14,4.91,-0.19
2002-10-18,5.32,-0.14,4.91,-0.19
2002-10-21,5.39,-0.12,4.93,-0.19
2002-10-22,5.35,-0.12,4.86,-0.19
2002-10-23,5.43,-0.12,4.86,-0.19
2002-10-24,5.47,-0.11,4.9,-0.19
2002-10-25,5.46,-0.11,4.86,-0.19
2002-10-28,5.37,-0.09,4.79,-0.19
2002-10-29,5.48,-0.09,4.86,-0.19
2002-10-30,5.5,-0.07,4.83,-0.19
2002-10-31,5.59,-0.08,4.9,-0.19
2002-11-01,5.61,-0.08,4.9,-0.19
2002-11-05,5.66,-0.07,4.89,-0.19
2002-11-06,5.7,-0.05,4.9,-0.19
2002-11-07,5.64,-0.05,4.87,-0.19
2002-11-08,5.54,-0.05,4.83,-0.19
2002-11-11,5.63,-0.05,4.92,-0.19
2002-11-12,5.58,-0.05,4.88,-0.19
2002-11-13,5.58,-0.05,4.87,-0.19
2002-11-14,5.62,-0.05,4.86,-0.19
2002-11-15,5.59,-0.05,4.83,-0.19
2002-11-18,5.62,-0.05,4.85,-0.19
2002-11-19,5.7,-0.04,4.88,-0.19
2002-11-20,5.72,-0.04,4.91,-0.19
2002-11-21,5.66,-0.04,4.9,-0.19
2002-11-22,5.68,-0.04,4.9,-0.19
2002-11-25,5.69,-0.04,4.91,-0.19
2002-11-26,5.69,-0.04,4.91,-0.19
2002-11-27,5.73,-0.04,4.89,-0.19
2002-11-29,5.75,-0.04,4.91,-0.19
2002-12-02,5.75,-0.04,4.91,-0.2
2002-12-03,5.61,-0.04,4.87,-0.2
2002-12-04,5.61,-0.02,4.89,-0.2
2002-12-05,5.56,-0.03,4.85,-0.2
2002-12-06,5.58,-0.03,4.85,-0.2
2002-12-09,5.56,-0.03,4.86,-0.2
2002-12-10,5.58,-0.03,4.86,-0.2
2002-12-11,5.62,-0.03,4.91,-0.2
2002-12-12,5.69,-0.03,4.92,-0.2
2002-12-13,5.65,-0.03,4.91,-0.2
2002-12-16,5.55,-0.03,4.88,-0.2
2002-12-17,5.5,-0.03,4.87,-0.2
2002-12-18,5.53,-0.03,4.88,-0.2
2002-12-19,5.56,-0.03,4.9,-0.2
2002-12-20,5.64,-0.03,4.91,-0.2
2002-12-23,5.65,-0.03,4.94,-0.2
2002-12-26,5.59,-0.03,4.91,-0.2
2002-12-27,5.64,-0.03,4.93,-0.2
2002-12-30,5.59,-0.03,4.92,-0.2
2002-12-31,5.62,-0.03,4.93,-0.2
2003-01-02,5.78,-0.03,5.02,-0.2
2003-01-03,5.75,-0.03,5.0,-0.2
2003-01-06,5.74,-0.03,5.0,-0.2
2003-01-07,5.77,-0.03,5.03,-0.2
2003-01-08,5.77,-0.05,5.03,-0.2
2003-01-09,5.75,-0.05,5.04,-0.2
2003-01-10,5.52,-0.05,4.91,-0.2
2003-01-13,5.43,-0.05,4.85,-0.2
2003-01-14,5.45,-0.05,4.86,-0.2
2003-01-15,5.46,-0.04,4.91,-0.2
2003-01-16,5.45,-0.04,4.92,-0.2
2003-01-17,5.52,-0.04,4.96,-0.2
2003-01-21,5.53,-0.03,5.01,-0.2
2003-01-22,5.58,-0.02,5.03,-0.2
2003-01-23,5.6,-0.02,5.06,-0.2
2003-01-24,5.67,-0.02,5.09,-0.2
2003-01-27,5.66,-0.02,5.08,-0.2
2003-01-28,5.72,-0.02,5.12,-0.19
2003-01-29,5.6,-0.02,5.06,-0.19
2003-01-30,5.67,-0.02,5.12,-0.19
2003-01-31,5.62,-0.02,5.06,-0.19
2003-02-03,5.66,-0.02,5.06,-0.19
2003-02-04,5.69,-0.02,5.09,-0.19
2003-02-05,5.61,-0.02,5.04,-0.19
2003-02-06,5.61,-0.02,5.07,-0.16
2003-02-07,5.54,-0.02,5.05,-0.16
2003-02-10,5.63,-0.02,5.13,-0.16
2003-02-11,5.7,-0.02,5.18,-0.16
2003-02-12,5.82,-0.01,5.11,-0.15
2003-02-13,5.71,-0.01,5.16,-0.15
2003-02-14,5.72,-0.01,5.19,-0.15
2003-02-18,5.73,-0.01,5.16,-0.15
2003-02-19,5.71,-0.01,5.11,-0.15
2003-02-20,5.68,-0.01,5.08,-0.15
2003-02-21,5.73,-0.01,5.18,-0.15
2003-02-24,5.71,-0.01,5.07,-0.15
2003-02-25,5.74,-0.01,5.08,-0.15
2003-02-26,5.78,-0.01,5.09,-0.15
2003-02-27,5.81,-0.01,5.11,-0.15
2003-02-28,5.74,-0.01,5.08,-0.15
2003-03-03,5.76,-0.01,5.13,-0.15
2003-03-04,5.7,-0.01,5.09,-0.15
2003-03-05,5.67,-0.01,5.05,-0.15
2003-03-06,5.61,-0.01,5.01,-0.15
